"id","brand","model","year","category","engine_capacity"
"0003d05be97f014ffd0bd77141523a0b","Suzuki","V-Strom 1050",2020,"Super motard",1040
"00049dad2fd254719922ce293f35f1b9","Ducati","Multistrada 620 Dark",2005,"Allround",620
"00066e5f3c7947ffa6090dabfd1b4be9","Rucker Performance","Performance Predator",2009,"Custom / cruiser",2030
"000cd3bd4a33b74021ff9ee30de1915c","Kawasaki","ZX-7RR Ninja",1996,"Sport",750
"002830b31e9cc8348f432273666f3f5f","BMW","S 1000 R",2016,"Sport",1000
"002c9a9554532dfed18474acf4f23d94","KTM","660 LC4 Rally Factory Replica",2003,"Enduro / offroad",650
"0030e19f243a4b10ac6a6c194e51f684","MV Agusta","Agusta F3 675",2016,"Sport",680
"00338928297b72730ada9cf873544027","Kawasaki","Vulcan  900 Classic LT",2015,"Touring",900
"0033a5c0ac5aeafd4b362fa619b5e202","Suzuki","Boulevard C90",2010,"Custom / cruiser",1460
"0039af31375b5c234b84a89ac75fd323","Yamaha","FJR1300AE",2010,"Sport touring",1300
"0041649f099ac9922278b5f7b5508341","Kawasaki","KLX 250 SF",2009,"Enduro / offroad",250
"0045fbb21ed1c93a87758e77421f73f7","BMW","R 1200 C Montauk",2004,"Custom / cruiser",1170
"004a42799dee26542af78941780dbdaa","Yamaha","XSR700",2016,"Classic",690
"004f9a2f554fdff06ef3c6007aadeaec","Husqvarna","SM 450 R",2007,"Super motard",450
"004fc4c876319b0b6a4b81bce0145ed8","Moto Guzzi","Guzzi V9 Bobber",2016,"Allround",850
"0053c110f627161adef1b281ac0e2ab1","Triumph","Bonneville T 100",2005,"Classic",870
"005ae3cbcff22b57c2fe45fa5abe7dcd","Yamaha","MT-09 Street Rally",2014,"Naked bike",850
"006307eb4587d75af526ee6607304e3b","GAS GAS","GAS EC FSE 450",2004,"Enduro / offroad",440
"0066e2640550210ababc25d610dc20c9","Yamaha","XVZ 12 T",1987,"Touring",1200
"0068fcd9a77f01b135105d8e60a5b506","Kymco","Xciting 500RI",2012,"Scooter",500
"0069d95604cc480fca57c180dc699c91","BMW","K 1300 S",2014,"Sport",1290
"006f3074ab460292a6262e13dfa3cc40","BMW","R 100",1981,"Touring",980
"0074a8243d3a771191f95354fb3a677e","Ducati","1198 S",2010,"Sport",1200
"0078b73a12d368ccbeca4df2d509400d","Moto Guzzi","Guzzi V 50 III",1981,"Sport touring",490
"007fd3e2ccf1b7823c5d8baaf9fa7ed2","Suzuki","GSX-S1000F ABS",2018,"Sport",1000
"0084adb04bd57b8293dc28a489252cad","Hyosung","GT650",2013,"Naked bike",650
"008a28f675d48523b3457da2796caf02","BMW","R 100 GS Paris-Dakar",1989,"Super motard",980
"008d0caa301eca640d15e7f7e9858e2d","Moto Guzzi","Guzzi V7 II Scrambler ABS",2016,"Classic",740
"0090b9d9d2d094d76081ecded0fee34e","Can-Am","Spyder Roadster",2007,"Sport",1000
"00a2fb5135bb852bc47d0a6804c650bb","Yamaha","WR450F",2015,"Enduro / offroad",450
"00a72e86600896cd4a375b2bf1b371b2","TM Racing","Racing EN 250 F e.s.",2007,"Enduro / offroad",250
"00b1dc44fdd7953ca27252851e74b48d","Suzuki","GSX-R750",2019,"Sport",750
"00b30e35038d4d5b7cf6bccb3e6fe4ea","Suzuki","Boulevard C109RT",2012,"Touring",1780
"00b6fa9b89c680b72fcac69c33ae3c14","Cagiva","Raptor 650",2002,"Naked bike",650
"00c02b633f5aa932da7a23528346d18a","Suzuki","GSX-S750",2020,"Sport",750
"00c219f5e74e7eb46677384c0a604539","Triumph","Speed Twin",2021,"Allround",1200
"00c543f092d7b49d9358afd1ee980639","Harley-Davidson","FLHTC 1340 Electra Glide Classic",1990,"Touring",1340
"00c6c9c01e16a07505f087adcf43e091","Vyrus","984 C3 V2",2005,"Naked bike",990
"00c80adf8d5f5d578ea1987b4e4cf372","Harley-Davidson","Heritage Softail Classic Injection",2001,"Custom / cruiser",1450
"00d088ab4934c79533df0e97437a1c80","Suzuki","VS 600 GL Intruder",1997,"Custom / cruiser",600
"00d0e61c00388afcc5cf31f6cfd3b3c8","Honda","CBR650R",2020,"Sport",650
"00d50959697bd0db136669f8625e1456","Buell","Lightning XB9SX",2006,"Naked bike",980
"00dcd94d84fe27f57905aa2022499ae3","Kymco","Downtown 300i",2011,"Scooter",300
"00e432e495df951d12ac0827fead5ced","KTM","250 SX-F",2021,"Cross / motocross",250
"00e692869153db6bca8b3342e47ce042","CCM","404 DS Trail",2007,"Enduro / offroad",400
"00e7107763a66e5cb26e3c24ec91a67f","Kawasaki","KLR 600 E",1984,"Allround",560
"00e998c6d0785d935225b80e9c981c01","BMW","G 310 R",2017,"Enduro / offroad",310
"00eb5c82813cc115b35ed82ff77f274a","Vento","Lucky 7 400",2017,"Naked bike",400
"00f7386a1691df1be2f037d36ff6b3c3","Enfield","Interceptor 650",2019,"Allround",650
"00fc02f536ab78913633a0451d5de241","Honda","CBR 900 RR",1999,"Sport",920
"010173caf301cb4cfd0801dc5a5afd82","MV Agusta","Agusta F4 1000 S",2005,"Sport",1000
"01027c08d5b252520b344f94a592f7bd","KTM","890 Duke R",2023,"Naked bike",890
"01072e51bc17fdcc3418340c202d0894","Honda","VFR 1000 F 2",1986,"Sport touring",1000
"01107420576e7d1a2c9f37fb12b02e46","Yamaha","WR250F",2020,"Enduro / offroad",250
"0111427fcd2192fe3b99bee136d82aef","TM Racing","Racing SMX 660 F Competition",2006,"Super motard",660
"0112617a24c904da9add67bf5f81796b","KTM","640 LC4 Supermoto",2003,"Super motard",630
"0119289e18d910064d224347b54f09b7","Aprilia","SXV 5.5",2010,"Super motard",550
"012221c9a7305add8c5d0c2915604ed4","Kawasaki","KLX300 SM",2021,"Super motard",290
"01237e81635be29fd003d2424a81c887","Aeon","Elite 350i",2012,"Scooter",310
"01242a06b5a055f5413cb3635168debf","Yamaha","XVZ 1300 TF Royal Star Venture",2000,"Touring",1290
"012864bd690aa242a9478f3b9ba48849","Honda","CB 250 Nighthawk",2005,"Custom / cruiser",230
"0133259f107025723da001c55c2be1a8","Yamaha","XS 650 Special",1981,"Classic",650
"01337029d71d9c457fc6847de4282586","Hyosung","GT 250 Comet",2004,"Sport",250
"01357abfd0d4786bc24ffce99d1b43a9","Triumph","Street Triple R",2019,"Naked bike",770
"0135bb16829fe1f15c092548fd1f0cb8","Ducati","851 SP 3",1991,"Sport",890
"013faf23289c415d7723f4fbaab199d9","Suzuki","GNX 250 E",1984,"Allround",250
"0143e3d6a74b6cd6ff2f850e8ed28825","Benelli","Tre 1130 K",2007,"Enduro / offroad",1130
"014e74217e6e377212155c90bdc43c87","Yamaha","MT-03",2022,"Sport",320
"0158330b998f7c9e4c7782eaca90e659","MZ","1000 S",2006,"Sport",1000
"0158333afe8510fb26b929937f4d3bc3","Ducati","Multistrada 1200 S",2017,"Allround",1200
"015c45acda3931ac60ed1db91de0b82c","KTM","350 EXC-F",2018,"Enduro / offroad",350
"015e40e2babcd0d0b5d3396ebaa02bb0","BMW","R 80 RT",1987,"Sport touring",800
"01606b6dd7cea6ea435b18b1396e4ac7","Suzuki","Djebel 250 XC",2002,"Enduro / offroad",250
"016602aab5610986ffca0d8fe5e69dbb","Harley-Davidson","FLSTF Softail Fat Boy",2010,"Custom / cruiser",1580
"016698c4f10a01d2b906cf91d635e555","Honda","Shadow VLX",2007,"Custom / cruiser",580
"01697813114534ab4638f2d1f207c40a","Triumph","Tiger 1200 Desert Edition",2020,"Allround",1220
"016b8c7c6b943c0ff9adc052c21a911f","Harley-Davidson","FLHRCI Road King Classic",2005,"Touring",1450
"016df6ee514e54527e8ce26177c614fc","Ducati","Streetfighter 848",2012,"Naked bike",850
