"id","city","district","province"
"00177bdeea1c2b61fd2180df0e1e4ba7","Rikillagaskada","Nuwara Eliya","Central"
"00279797863e5e2cda50c5c950c1c492","Paradeka","Kandy","Central"
"00374f8ba83b52885811f5c087a7d116","Tangalla","Hambantota","Southern"
"00724b442af4a1ee3ad5620ec1c85df3","Delgoda","Gampaha","Western"
"00a3ebf4731454b25e5288bae86530bd","Senapura","Anuradhapura","North Central"
"00b98f4c745eb9851aaeaf5b635a3972","Addalaichenai","Batticaloa","Eastern"
"00c397e18da02b40810b2cc0252e5a65","Kimbulwanaoya","Kurunegala","North Western"
"00c7b93fd17edb5f957ba461f82f24e3","Devalahinda","Ampara","Eastern"
"00f42550d26923e71b69c170e48032db","Kirindigalla","Kurunegala","North Western"
"01123a479975073b4555a97001d99c83","Mahawela Sinhapura","Galle","Southern"
"018ee8bf7760c14aea4ae6aa99a35864","Mahasenpura","Anuradhapura","North Central"
"019a334bf271cf71ae09cc1d12a2ebf5","Solepura","Kurunegala","North Western"
"019b61f13bcd050532420b96fb9131d0","Hettimulla","Kalutara","Western"
"01c78f16ef86de1142a3ad0fbdda3948","Leliambe","Matale","Central"
"01f0f19e3ee20da8b68ec3e4f038da6c","Tissamaharama","Hambantota","Southern"
"0202459113607641df6be4d8c03b7b68","Katunayake","Gampaha","Western"
"0212fb3dbc9584cd862e09f8186b8703","Yakkala","Gampaha","Western"
"02144956e27a2da4bc18b23e2cfac9ec","Kotagama","Monaragala","Uva"
"021ea6fb37f4fecddf916c3ee88b6ff2","Beruwala","Kalutara","Western"
"026baa57dca4224646567d179c3c48b8","Gurubewilagama","Ratnapura","Sabaragamuwa"
"0276eed549eaf30fa1a5ef77cc0875c0","Adampan","Mannar","Northern"
"028826e39575e301c4ec80426657f46b","Menikhinna","Kandy","Central"
"028d14debe910fd0eb54a7c05244672f","Waleboda","Ratnapura","Sabaragamuwa"
"029699a3c9d12cb34b23db9db5a1386d","Mundel","Puttalam","North Western"
"029e980816ec934f006b29f2b7284422","Katubedda","Colombo","Western"
"02ab0db7ca678952eeec1151776fc931","Remunagoda","Kalutara","Western"
"02bc72430d5b08cfe598a4fafac4d313","Dehiwatte","Trincomalee","Eastern"
"030b7e86012941f58fa36161248f2f04","Sivanagar","Kilinochchi","Northern"
"031ca6c61a354dfee3527e1b7554710a","Pundaluoya","Nuwara Eliya","Central"
"032e6eb05203bbc6e51eaf29964f6aa1","Handawalapitiya","Kandy","Central"
"0330f35abcbfde0f77d83b5a03bb4902","Mandaitivu","Jaffna","Northern"
"03487f7ef13755082f85d1284ec2f08e","Ganemulla","Gampaha","Western"
"037d08ea6370193a99d81745f37ab2f8","Saliyapura","Anuradhapura","North Central"
"0383cdbbe101fb781fbb3cb03abdf435","Pathanewatta","Kurunegala","North Western"
"039f956fff86bdc9051645f7f06c124a","Thalaimannar West","Mannar","Northern"
"03be9fce69e38e454d48d5b61699d9f6","Hingurakdamana","Polonnaruwa","North Central"
"03d065ff6d487911b238404990b9663f","Niwandama","Gampaha","Western"
"03fc8a08d8761750b58cbb9e38a50db6","Uluvitike","Galle","Southern"
"0419b7db6b1fcc1a812a65e8b2dca8dc","Uridyawa","Puttalam","North Western"
"047f2a72c6060fc7ef4c8572f5466f04","Kiriwattuduwa","Colombo","Western"
"0491862e31c18321cfbc6ca8dbfd9a05","Hungama","Hambantota","Southern"
"0499f5aee93286ecb43c836a7cf9e238","Kayts","Jaffna","Northern"
"04c3af65adab99b0c2fad748d04ecd6a","Wikiliya","Ratnapura","Sabaragamuwa"
"04cfc35b0759b5affe3cbd581487c77c","Walpola (WP)","Gampaha","Western"
"04f6901d552e4a4d45b3b372cafcd970","Nawamedagama","Badulla","Uva"
"051ffe0c6b22152e47e3e712a8257767","Inamaluwa","Matale","Central"
"056755589eb9e0dcd93239a998910e28","Talgaswela","Kalutara","Western"
"05720c9d9e3bdc11542bf411876390b9","Weligampola","Kandy","Central"
"057f5d238817e94b47e2312a5273aac3","Wettawa","Kandy","Central"
"058e7d9c68fa2b699c41cd1adfaca4e7","Morahenagama","Nuwara Eliya","Central"
"05ce49549b59b9e99a8850f1c8d28e4d","Veyangoda","Gampaha","Western"
"05e1188905033ff1d3600c291de64d94","Mahakachchakodiya","Vavuniya","Northern"
"05ea93e49cfadf40500bf7e45ac6c035","Angulugaha","Galle","Southern"
"0622dbe20872e958cfb499ca65894e6f","Karandana","Ratnapura","Sabaragamuwa"
"0654a887885972f586fbf01886c94016","Hali Ela","Badulla","Uva"
"0658b301245bab6a52cbfded5c11b782","Periyapullumalai","Batticaloa","Eastern"
"0668f7ed49d1524feb158476b4657719","Hiniduma","Galle","Southern"
"066d73b899363e93aa7102642877406a","Siyambalagune","Monaragala","Uva"
"066f69386c8d22d0e4b092e6b6397c8c","Weweldeniya","Gampaha","Western"
"0678afe36da65e697cefb7c2bb47942c","Rampathwila","Anuradhapura","North Central"
"06897ffcc98708fa2e22b91129425a74","Galapitagala","Anuradhapura","North Central"
"06986cd13330c3f85f6b3439250a8b3c","Battaramulla","Colombo","Western"
"06e344835177358f670ebe77589e87ad","Wattegama","Kurunegala","North Western"
"0707ad75325a11d9ec7edf9700d6ef09","Magulagama","Kurunegala","North Western"
"071b5796113e9e50d54b83df0eccfb88","Nikaweratiya","Kurunegala","North Western"
"07287e7185a83559c1f22f5d986d61f4","Maspanna","Badulla","Uva"
"076e2264d8e5cdfee2be654b22b93e69","Alvai","Jaffna","Northern"
"0773dbd77e07a50619ba79e2af010762","Nivitigala","Ratnapura","Sabaragamuwa"
"0779262ea2f7ec756a99fa20403143ec","Haggala","Nuwara Eliya","Central"
"078ce1b690f3e80abfab7064904ee518","Dewalegama","Kegalle","Sabaragamuwa"
"079cf70e2e6182e7e7044a3f0717f778","Arukwathupura","Colombo","Western"
"07bdc0c7e7abc8c239e033da7e5cd565","Ginimellagaha","Galle","Southern"
"07c3a3cebae3855c9c181757a42b6119","Ratna Hangamuwa","Ratnapura","Sabaragamuwa"
"07c4c64a05ee56d45bd9dbb1cb658fb1","Maha Elagamuwa","Anuradhapura","North Central"
"07ca2c8476959bc2b5e7c9b9bc387fef","Panvila","Nuwara Eliya","Central"
"07cf00d681cf26787a651797d2fc82b8","Getamanna","Hambantota","Southern"
"0813728df1f5d2327f863e23725acd15","Keppetipola","Ratnapura","Sabaragamuwa"
"083a662c4e7256caafed85ac37015d33","Lewangama","Kegalle","Sabaragamuwa"
"084a935d9a729da77ade6e9cf9b53c84","Udapussallawa","Nuwara Eliya","Central"
"0853a60315723db5649f9728d0417112","Kalugamuwa","Kurunegala","North Western"
"086ef2813779d25d1d83b8cd5794e7be","Bujjomuwa","Kurunegala","North Western"
"086efc3c94360943172f941ae6129a3f","Vijithapura","Kurunegala","North Western"
"089319b3b737ec6ba0b31ca3bb5d46ac","Parasangahawewa","Anuradhapura","North Central"
"08a8663a353447d9e3ffbaaff1be82ca","Morontota","Kegalle","Sabaragamuwa"
"08af7b72c78a02722729609cbb1fcef6","Nochchiyagama","Anuradhapura","North Central"
"08b867d50e86a1fdf52c16d0662ec4e6","Diyakobala","Monaragala","Uva"
"08bac6718cb20e32f815f435e8df2834","Colombo Secretariant","Colombo","Western"
"08c9c490b8de245d6bd2df5ac75f2e2d","Ketakumbura","Kandy","Central"
"09203b1084818a8b5ecb2f2f410f11dc","Matara","Matara","Southern"
"09385374b167d9133ef2e572aab8313c","Lunuketiya Maditta","Kandy","Central"
"09729fa98e492d3b356bb292c648140e","Kalubululanda","Ratnapura","Sabaragamuwa"
"0990a3619ac218b397fddbff150b98e4","Muhamalai","Kilinochchi","Northern"
"099ede6051a0d81f2c7e1dca743ac7a0","Henegama","Kalutara","Western"
"09a356e088921cd213e43b1567c4b98c","Gomilamawarala","Matara","Southern"
"09b4ed2a930f906cd5af249de4102f60","Hasalaka","Matale","Central"
"09c6f19e650a45d2a6f63707cf831a57","Torington Square","Colombo","Western"
"09df702bfa78d0215e7e1d1d0e2311a0","Thalahitimulla","Kurunegala","North Western"
"09f5180195a76445132096593798a0a1","Miella","Matara","Southern"
"09fa799b833da1b9df3ec6f06c039452","Serunuwara","Trincomalee","Eastern"
"0a36a5ff5b8b19f2c07b1fff52ba1da2","Kirindawa","Kurunegala","North Western"
"0a3b0a0148c5ef96e59c78425bdd9d54","Karatota","Matara","Southern"
"0a4ef56791763ce60d1691f706dd7153","Padaviya","Anuradhapura","North Central"
"0a5f223bf3cc11dfc09df348196f1b0a","Pahalalanda","Ampara","Eastern"
"0a698e3c0f452d2292f776d6cb4f53c0","Yalagamuwa","Badulla","Uva"
"0a71631a1751b1f78a61d68a27153e8a","Kekunagolla","Kurunegala","North Western"
"0abe73950fd144a3caba081481b330ad","Delft West","Jaffna","Northern"
"0ac0989b7980997fbc7e09f694298ca3","Karuwalagaswewa","Puttalam","North Western"
"0ac1b9b00cf07901c36eadfa90a12eca","Wanduramba","Galle","Southern"
"0ad5dfc587d6ea573f75d9b3a85a5bce","Diyabeduma","Polonnaruwa","North Central"
"0b004a266f3859297dcf6c95b81578ea","Elpitiya","Galle","Southern"
"0b0fc5122e14d62ef87ba9d3260c8458","Undugoda","Kegalle","Sabaragamuwa"
"0b30877b362f7dbc2ef8b86c5f574cbd","Beliatta","Hambantota","Southern"
"0b97f2a2cbd1acef9004e8f851c65a14","Marichchikaddi","Mannar","Northern"
"0bbf9fe6d32e3b457878ac3fb727be25","Elamulla","Nuwara Eliya","Central"
"0bc8a861b8e1c976ac70461e02ee7c88","Akmeemana","Galle","Southern"
"0bd4a5c5fafe521252650649d5200f0e","Mankemi","Polonnaruwa","North Central"
"0bd77044277522ffba601fac4c8aeaa1","Hambantota","Hambantota","Southern"
"0be63200b98aa9fea707831f1773d40a","Labunoruwa","Anuradhapura","North Central"
"0bf6bd14bcb95fcd8b62dbcfb40061e6","Padavi Sripura","Anuradhapura","North Central"
"0c021651f8a7cc2a0640bbf86e4e548d","Homagama","Colombo","Western"
"0c4c64d713dba61c45639232bc1d33a1","Pamunuwatta","Gampaha","Western"
"0c6a0bbd816a7e07a06de7adc3a7fa7d","Kalingaela","Polonnaruwa","North Central"
"0c88cfcf7248c3555ef725656ef1a786","Anderson Plats","Colombo","Western"
"0c8d86b2bf0ab6b8133cc16a05a81c26","Thihagoda","Matara","Southern"
"0ccc05e996c164af8a3849e38fa3c76c","Doratiyawa","Kurunegala","North Western"
"0cd5066e0eacfdc89451b0f2ae4ffd00","Pelagahatenna","Badulla","Uva"
"0d01fb21fb7532658d24def74c2ef05d","Kosgoda","Galle","Southern"
"0d036287f2343ff00fe4e0ca431e86bb","Central Camp","Badulla","Uva"
"0d3d14f2b66d07ba9a6f42df089ffbaa","University of Colombo","Colombo","Western"
"0da4fbf3bf69302f016bafd958be5663","Dikwella","Matara","Southern"
"0dcdba5a6d77f9954b4f1f20e0b78635","Mediripitiya","Matara","Southern"
"0dd5615bf1c72155632bca6837736c06","Dombemada","Kegalle","Sabaragamuwa"
"0e2c6a100ecd2347c2393e9fcc140c52","Bogamulla","Kurunegala","North Western"
"0e38744a772707f6225062c6ab5a092e","Uduwa","Kegalle","Sabaragamuwa"
"0e9ba63434b4cfb6e6b44e9e1e481c00","Miriswatta","Gampaha","Western"
"0efc2ad5adb5f6b895d813a618689c4e","Pallavarayankaddu","Kilinochchi","Northern"
"0f339b5904d27c9ea2c0368c62c05a54","Morahela","Ratnapura","Sabaragamuwa"
"0f3a7962b59444042d14af54dd94d957","Willorawatta","Colombo","Western"
"0f44f334427467933b060e6b491938d5","Pimbura","Kalutara","Western"
"0f46bb44aa81046051a3194e1af01b3d","Pahala Maragahawe","Anuradhapura","North Central"
"0f5ee68b9a9b138386eb6126f2c17367","Wendaruwa","Kandy","Central"
"0f8d2c80419ed5f95dafb13682501fbd","Hingula","Kegalle","Sabaragamuwa"
"0f93b657fd1336b61f2320f20d1bac39","Walpita","Gampaha","Western"
"0fad83b9c7674b413d1de6cbb451f9a9","Balangoda","Ratnapura","Sabaragamuwa"
"0fc4858a042452002cea544e1b712b9e","Colombo 4 (Bambalapitiya)","Colombo","Western"
"0ff4f7f219474761723e91ea30f43065","Makulpotha","Kurunegala","North Western"
"101ca6949dd21de0a7fb74a12f00b7c4","Poddala","Galle","Southern"
"1061a04d194272e6a6ee455b04233ae9","Ussapitiya","Kegalle","Sabaragamuwa"
"106f6ad62041df7436f52362d9fd1576","Velamboda","Kandy","Central"
"10eb7c55509e67e7757ceb7382a130ff","Napawela","Colombo","Western"
"10eeb1a94a05fe2da4743642e6bee753","Ataragalla","Kurunegala","North Western"
"111f8be349ccb04bd6472eed4eb028c4","Nochchimoddai","Vavuniya","Northern"
"11489de6df6843580ea8444a2b3e8ecf","Mahawalatenna","Ratnapura","Sabaragamuwa"
"114d202105b5c9520e099d2519bf3f90","Alawatugoda","Galle","Southern"
"11768d57b0e0951d356668b5b0fffe4b","Kavudupelella","Matale","Central"
"11a9c8e345f0ff2c7806e3f5d2db3a25","Hakbellawaka","Kegalle","Sabaragamuwa"
"11a9f2db2690384481d01ddfde8d58e9","Keppetipola Mawatha","Colombo","Western"
"11c894f1b6541db57634e7f3eb0774a8","Hondiyadeniya","Kandy","Central"
"11eb472a2cb7073ab766759ff792c35d","Koslanda","Badulla","Uva"
"11f4f1334e22823b0b0ff7fb7cb721d1","Madurankuliya","Puttalam","North Western"
"12179945beacbb8070852452d09d8995","Medawala Harispattuwa","Kandy","Central"
"122aa9badf5ff795441c6dded39e0bdf","Nawattuduwa","Kalutara","Western"
"1233d46e243a03544e030a7ca81915f4","Mirissa","Matara","Southern"
"12999d70db563b88d3a96bbec841513f","Kotawehera","Kurunegala","North Western"
"12d7d385e443a3278fe0474687353614","Nikadalupotha","Gampaha","Western"
"12dd626df07e888a0cfae9679f2f360b","Mariarawa","Monaragala","Uva"
"1308b964ffde2eaf2c4b217e002d90b7","Pallebedda","Ratnapura","Sabaragamuwa"
"133ace9d51a0d12aab3c60b9d7c48086","Maliyadda","Kegalle","Sabaragamuwa"
"133c407ca121301f12d5cf4baa0cc999","Etanawala","Matale","Central"
"136dc6b81d66f83457169710d893624a","Talpotha","Polonnaruwa","North Central"
"1370747884402463869573b82286305e","Hingurakgoda","Polonnaruwa","North Central"
"1398589efb6e89254fab59537cd8cdc8","Mahagirilla","Kurunegala","North Western"
"13a37adcaf418d9f8959df82b6b34e6f","Ambalangoda","Colombo","Western"
"13be8fa2a8bb2c38ce25143b3d2c5824","Uggalboda","Gampaha","Western"
"13eb607412690356b09f1672ae65ab46","Halwala","Kalutara","Western"
"13f1d27dc87f314eef50a39e842d5056","Boossa","Galle","Southern"
"13fef81a3404fc40e3d179bb93487c66","Randeniya","Monaragala","Uva"
"140c78a67abc6a48eb51b4007ef14b28","Mutur","Trincomalee","Eastern"
"141bc402ca77d9b5d2b525dedc7b1f6f","Gabbela","Ratnapura","Sabaragamuwa"
"1420be9bc90261de41f9b159cc4e7ecd","Palampiddy","Mannar","Northern"
"144269d61ec5ae023a4611c8c19c09c5","Kaduwela","Colombo","Western"
"146702662ef897f896327eb486ea5d80","Bopagama","Gampaha","Western"
"1467a8b5992dc6be76535d4dadae8653","Mahawilachchiya","Anuradhapura","North Central"
"147f8b15c66560e1775b61f11418b988","Damana","Matale","Central"
"148deb14b1a11f80f6a53cc346685532","Pitabeddara","Matara","Southern"
"14a30f83c8b91134682c729bfc86b24a","Pahalagiribawa","Kurunegala","North Western"
"14c912b7bb5f2b6e5c54616b6b7c72e6","Marawila","Puttalam","North Western"
"14d12ef093de3dfc4524c3177bf5dda6","Talangama South","Colombo","Western"
"14f7ef24e7fe1db1d5f9694cc89a0b71","Mattegoda","Colombo","Western"
"150744872b55e403f974bc5aaa3bc42f","Mankulam","Mullaitivu","Northern"
"152c1d28ddda5acdf84212e29f473bb3","Periyamadhu","Mannar","Northern"
"1541d4849d366ab69f683ed8c81a7da6","Malgoda","Badulla","Uva"
"1545a9ef45966f69da9976a6569c1b33","Hinatiyana Madawala","Gampaha","Western"
"1549e8ab7d2aa0880cb1d382ecc1c5fb","Mamadala","Hambantota","Southern"
"1594916d5ed8ab0d2c10a52a1c3c7db5","Minipe","Kandy","Central"
"1597dbda9ec14cac58a83f2341f42eac","Jaffna","Jaffna","Northern"
"15c7b118aa5b5808831885654bc12063","Nakiyadeniya","Galle","Southern"
"15f86bf33a8d23488eac0ca57ecd0eae","Hidogama","Anuradhapura","North Central"
"1602f3513eb47f858dde39bce90023c4","Deniyaya","Matara","Southern"
"161c6ea608ee1bead451a6fabf5081c1","Devinuwara (Dondra)","Matara","Southern"
"162b7668a10335cba8228f6a737c9025","Bombuwala","Kalutara","Western"
"1636402ec8de99f961a198ee80f6f712","Ududumbara","Kandy","Central"
"166caa465de4647141e6405693303cc4","Waikkal","Puttalam","North Western"
"16a8801a7ef10bdf4944445ec30d5313","Kirigalwewa","Anuradhapura","North Central"
"16d84dd2b6000bdffc4c1491b73c3773","Kirinda","Hambantota","Southern"
"17512e58d6c9bd7b106e53791c3b7d7a","Gawaragiriya","Ratnapura","Sabaragamuwa"
"17a148ae4e8ceee9841ad9cfcceef23c","Haputale","Badulla","Uva"
"17a76ae7129869dbbaab3efd684db329","Kurupanawela","Nuwara Eliya","Central"
"17a8046d0590afe27939a78efad45f86","Muththaiyankaddukulam","Mullaitivu","Northern"
"17acc0b5e21ef0c86c89aa27b3217bfc","Miraniya Street","Colombo","Western"
"17e17607f359bb28d64ea3d00dfcc93c","Madulkele","Kandy","Central"
"17e64ceafc54eda645a8b321587c0003","Megodawewa","Anuradhapura","North Central"
"180e7d8b3064c842ced4880315527602","Werapitya","Kandy","Central"
"18232ce68655710240cebe2d385a3806","Ranmuduwewa","Hambantota","Southern"
"18360dda6f6102efd880d00706b8b8d4","Keppitiwalana","Kurunegala","North Western"
"185ce78a7a641e433096ea47939ab6f7","Sithankerny","Jaffna","Northern"
"18b19757c84604e98d781d317c2b8701","Udamattala","Hambantota","Southern"
"18e7e21b4f362e2d9042d4bc091298b9","Kalmadhu","Vavuniya","Northern"
"190309a3ddda591fb32d4f4bcdd51550","Mahauswewa","Puttalam","North Western"
"193479da4cd3c71454311f0bc3f7481c","Uva Pelwatta","Monaragala","Uva"
"19381c2cee309fc1e99ac81544f69a0d","Parakumpura","Anuradhapura","North Central"
"1963622fe4de402af938479fb72b0923","Dedugala","Kegalle","Sabaragamuwa"
"19812a202ff1671172ea312657f19541","Kiriibbanwewa","Ratnapura","Sabaragamuwa"
"1994446a4bb24d7229d6bad6142d565c","Kananwila","Kalutara","Western"
"199c3d4a448bb27be83368f6369548a1","Vannerikkulam","Kilinochchi","Northern"
"19a85ed8898333656a6ba2501fa1cf6d","Talawakele","Nuwara Eliya","Central"
"19b6bbc80a1d7abe35dda42df6022be7","Mapakadawewa","Badulla","Uva"
"19c001dc291571ac6d6d82ea2277fb4c","Dankanda","Matale","Central"
"19da9577fd027ec991b0fe33959ce14b","Ittakanda","Ratnapura","Sabaragamuwa"
"19ed8890c5bc8919cd5738635058650a","Panamura","Ratnapura","Sabaragamuwa"
"1a18f63af7880f84e72f07c6544a8b34","Sultanagoda","Matara","Southern"
"1a6307895e38d9611e39575364eb584a","Nissanka Uyana","Nuwara Eliya","Central"
"1a797622cd5c5f815661570080fc47cf","Ramanathapuram","Kilinochchi","Northern"
"1aa18678ba933a3f488958ee4c9200fd","Galenbindunuwewa","Anuradhapura","North Central"
"1abaa934c3d5ed56586eabce853ab2b7","Dunuwilapitiya","Kurunegala","North Western"
"1abcc299fe88162f3d38dcc34bf8afe3","Mamaduwa","Vavuniya","Northern"
"1ae039d59df4de5f35638d5b12663484","Kagama","Anuradhapura","North Central"
"1b385eba449aff1bb59c8d5b917dd19a","Tittagonewa","Anuradhapura","North Central"
"1b643afa4add39bd93f09e1c47bb95be","Watuwatta","Kurunegala","North Western"
"1b77f3ba7d80d6ac8e9345721db506ff","Nainamadu","Vavuniya","Northern"
"1b7abba61d992b106311c1ecc379ae07","Walasgala","Matara","Southern"
"1ba04648c9dc4bdabf69a7474dc96133","Anukkane","Kurunegala","North Western"
"1bbf1f10e8e28a694687371345e8a358","Kalawila Kiranthidiya","Kalutara","Western"
"1bc12ba7f67fd01b4e83e2bf8f62bc1a","Akkaraipattu","Ampara","Eastern"
"1bc9b8c9e65500a6f7f55f6e2ec099c3","Horagala","Colombo","Western"
"1be1ab6e916c45c469030ca1c8ae7c9d","Dekatana","Gampaha","Western"
"1c6c10da5e97286bac1020665661d12f","Atabage","Kandy","Central"
"1c7834a4fa9e878bc4a5367bf282ea0e","Polpithigama","Kurunegala","North Western"
"1c7839ac401b34f094ff49873063af85","Unawitiya","Galle","Southern"
"1c7856651b4d89381c32482dbb04daba","Nattandiya","Puttalam","North Western"
"1c80c3513b24826bb1631f2c0784db07","Welihelatenna","Kegalle","Sabaragamuwa"
"1c8214eb63585066c23a55b409028cd4","Ella","Badulla","Uva"
"1ca5220e4d6caf2a9ca9e538c94773bf","Ganewalpola","Anuradhapura","North Central"
"1cbe173f879c1ca9613e25c0e7a832e1","Talgaspe","Galle","Southern"
"1ccc27e0aa1381e98c002329eaf0b72a","Elibichchiya","Kurunegala","North Western"
"1ce6dc1a8c375a7b47bbaf6dec77ea9c","Karagahagedara","Kurunegala","North Western"
"1d22a79884340d7374cff629f4c067e2","Handagiriya","Ratnapura","Sabaragamuwa"
"1d70e8499a5b14bd7faf6a0478e67aa3","Beralapanathara","Ratnapura","Sabaragamuwa"
"1d9c549f4e2de6ca69e41f7942b71c3f","Kudagalgamuwa","Kurunegala","North Western"
"1dba9188dae5b18efa1268a61a7fb80a","Pahala Millawa","Galle","Southern"
"1de03044b1493dc98595eae8e9f8cf71","Mount Lavinia","Colombo","Western"
